,name,type,distance,moving_time,total_elevation_gain,start_date_local
4,Afternoon Walk,Walk,1985.5,954,8.4,2023-06-24T16:22:40Z
7,Night Walk,Walk,2345.0,1293,54.0,2023-06-23T22:00:51Z
9,Lunch Walk,Walk,1697.1,1427,12.4,2023-06-22T11:21:08Z
10,Morning Walk,Walk,1761.4,1402,0.0,2023-06-21T10:11:29Z
12,Lunch Walk,Walk,1318.9,334,15.6,2023-06-20T12:32:21Z
17,Crosstown trail ,Walk,24550.9,19338,765.4,2023-06-18T13:52:00Z
22,Evening Walk,Walk,2209.9,1355,25.2,2023-06-16T18:08:06Z
25,Morning Walk,Walk,1855.6,1406,0.0,2023-06-15T10:44:57Z
34,Night Walk,Walk,1462.7,239,0.0,2023-06-12T21:56:55Z
39,Afternoon Walk,Walk,3320.0,3020,107.0,2023-06-11T16:36:14Z
40,Lunch Walk,Walk,3115.5,2410,22.4,2023-06-11T11:51:51Z
45,Afternoon Walk,Walk,634.9,469,15.8,2023-06-09T16:41:22Z
46,Morning Walk,Walk,1082.3,117,0.0,2023-06-09T10:47:58Z
48,Night Walk,Walk,2282.2,1925,96.2,2023-06-07T23:20:16Z
51,Evening Walk,Walk,2368.7,1082,2.4,2023-06-06T18:12:15Z
52,Lobby day break walk and talk ,Walk,3924.5,2992,18.0,2023-06-05T15:29:36Z
53,Afternoon Walk,Walk,1437.2,376,0.0,2023-06-04T16:52:48Z
58,Evening Walk,Walk,1952.9,1440,89.8,2023-06-03T18:16:09Z
63,Morning Walk,Walk,1968.0,1390,2.2,2023-06-01T10:22:43Z
70,Afternoon Walk,Walk,1891.6,1440,90.0,2023-05-30T16:44:48Z
87,Lunch Walk,Walk,3671.4,2940,120.0,2023-05-26T12:42:56Z
88,Lunch Walk,Walk,3435.7,2660,15.2,2023-05-26T11:01:20Z
96,Lunch Walk,Walk,1892.5,1447,23.0,2023-05-22T11:11:10Z
102,Morning Walk,Walk,1143.9,49,0.0,2023-05-20T08:59:20Z
103,Afternoon Walk,Walk,1509.7,579,40.6,2023-05-19T15:55:24Z
114,Afternoon Walk,Walk,1775.5,1441,94.0,2023-05-15T16:04:47Z
117,Morning Walk,Walk,2208.6,1677,22.6,2023-05-14T10:43:54Z
118,Evening Walk,Walk,1272.8,760,6.0,2023-05-13T19:26:56Z
119,Afternoon Walk,Walk,1138.6,2,0.0,2023-05-13T16:03:47Z
123,Morning Walk,Walk,1050.2,150,0.0,2023-05-12T10:39:20Z
124,Night Walk,Walk,1174.9,1122,84.8,2023-05-11T21:46:38Z
125,Morning Walk,Walk,3670.6,2554,49.0,2023-05-11T10:51:33Z
129,Night Walk,Walk,1773.9,1409,67.0,2023-05-09T22:27:59Z
130,Evening Walk,Walk,1843.2,1212,36.2,2023-05-09T19:38:45Z
133,Evening Walk,Walk,907.9,1,0.0,2023-05-08T18:07:29Z
134,Lunch Walk,Walk,1108.0,584,4.8,2023-05-08T12:20:11Z
135,Afternoon Walk,Walk,2035.0,1528,4.4,2023-05-07T17:26:30Z
136,Afternoon Walk,Walk,1420.1,1301,0.0,2023-05-07T15:30:12Z
143,Afternoon Walk,Walk,4245.3,2775,121.8,2023-05-05T16:25:25Z
145,Lunch Walk,Walk,2315.7,1840,0.0,2023-05-05T11:46:33Z
147,Morning Walk,Walk,1871.0,1275,0.0,2023-05-04T09:29:28Z
155,Evening Walk,Walk,1292.2,1002,71.0,2023-04-30T20:00:04Z
156,Afternoon Walk,Walk,1352.0,939,0.0,2023-04-30T17:46:15Z
159,Evening Walk,Walk,1904.8,1545,92.0,2023-04-27T18:53:51Z
160,Morning Walk,Walk,1790.3,1354,0.0,2023-04-27T09:24:28Z
165,Afternoon Walk,Walk,1817.6,1161,5.2,2023-04-23T15:40:56Z
166,Afternoon Walk,Walk,2919.5,2081,20.8,2023-04-22T16:06:39Z
167,Lunch Walk,Walk,1638.5,1287,18.8,2023-04-22T11:06:53Z
168,Lunch Walk,Walk,2076.5,1951,181.0,2023-04-21T11:36:08Z
169,Lunch Walk,Walk,7773.5,6823,133.8,2023-04-20T12:14:08Z
170,Evening Walk,Walk,1733.4,1207,0.0,2023-04-19T20:19:56Z
171,Lunch Walk,Walk,1439.1,1127,3.6,2023-04-19T11:13:46Z
172,Afternoon Walk,Walk,1507.9,1311,3.0,2023-04-18T16:03:07Z
173,Evening Walk,Walk,2140.3,1744,11.6,2023-04-15T19:41:38Z
174,Afternoon Walk,Walk,6377.1,6540,93.0,2023-04-15T14:24:48Z
175,Afternoon Walk,Walk,3271.5,2684,12.2,2023-04-14T17:24:24Z
176,Afternoon Walk,Walk,1586.7,581,4.4,2023-04-14T16:30:51Z
177,Afternoon Walk,Walk,2693.0,1995,30.2,2023-04-14T14:29:46Z
178,Afternoon Walk,Walk,1904.1,1594,21.8,2023-04-12T17:51:29Z
179,Afternoon Walk,Walk,6021.3,4853,61.6,2023-04-12T14:17:18Z
181,Afternoon Walk,Walk,3480.4,2412,113.2,2023-04-10T13:09:24Z
182,Evening Walk,Walk,1266.9,252,3.2,2023-04-09T19:47:00Z
183,Afternoon Walk,Walk,1774.5,1324,30.0,2023-04-09T17:18:24Z
186,Afternoon Walk,Walk,1816.4,835,0.0,2023-04-08T17:12:53Z
204,Afternoon Walk,Walk,1985.5,954,8.4,2023-06-24T16:22:40Z
207,Night Walk,Walk,2345.0,1293,54.0,2023-06-23T22:00:51Z
209,Lunch Walk,Walk,1697.1,1427,12.4,2023-06-22T11:21:08Z
210,Morning Walk,Walk,1761.4,1402,0.0,2023-06-21T10:11:29Z
212,Lunch Walk,Walk,1318.9,334,15.6,2023-06-20T12:32:21Z
217,Crosstown trail ,Walk,24550.9,19338,765.4,2023-06-18T13:52:00Z
222,Evening Walk,Walk,2209.9,1355,25.2,2023-06-16T18:08:06Z
225,Morning Walk,Walk,1855.6,1406,0.0,2023-06-15T10:44:57Z
234,Night Walk,Walk,1462.7,239,0.0,2023-06-12T21:56:55Z
239,Afternoon Walk,Walk,3320.0,3020,107.0,2023-06-11T16:36:14Z
240,Lunch Walk,Walk,3115.5,2410,22.4,2023-06-11T11:51:51Z
245,Afternoon Walk,Walk,634.9,469,15.8,2023-06-09T16:41:22Z
246,Morning Walk,Walk,1082.3,117,0.0,2023-06-09T10:47:58Z
248,Night Walk,Walk,2282.2,1925,96.2,2023-06-07T23:20:16Z
251,Evening Walk,Walk,2368.7,1082,2.4,2023-06-06T18:12:15Z
252,Lobby day break walk and talk ,Walk,3924.5,2992,18.0,2023-06-05T15:29:36Z
253,Afternoon Walk,Walk,1437.2,376,0.0,2023-06-04T16:52:48Z
258,Evening Walk,Walk,1952.9,1440,89.8,2023-06-03T18:16:09Z
263,Morning Walk,Walk,1968.0,1390,2.2,2023-06-01T10:22:43Z
270,Afternoon Walk,Walk,1891.6,1440,90.0,2023-05-30T16:44:48Z
287,Lunch Walk,Walk,3671.4,2940,120.0,2023-05-26T12:42:56Z
288,Lunch Walk,Walk,3435.7,2660,15.2,2023-05-26T11:01:20Z
296,Lunch Walk,Walk,1892.5,1447,23.0,2023-05-22T11:11:10Z
302,Morning Walk,Walk,1143.9,49,0.0,2023-05-20T08:59:20Z
303,Afternoon Walk,Walk,1509.7,579,40.6,2023-05-19T15:55:24Z
314,Afternoon Walk,Walk,1775.5,1441,94.0,2023-05-15T16:04:47Z
317,Morning Walk,Walk,2208.6,1677,22.6,2023-05-14T10:43:54Z
318,Evening Walk,Walk,1272.8,760,6.0,2023-05-13T19:26:56Z
319,Afternoon Walk,Walk,1138.6,2,0.0,2023-05-13T16:03:47Z
323,Morning Walk,Walk,1050.2,150,0.0,2023-05-12T10:39:20Z
324,Night Walk,Walk,1174.9,1122,84.8,2023-05-11T21:46:38Z
325,Morning Walk,Walk,3670.6,2554,49.0,2023-05-11T10:51:33Z
329,Night Walk,Walk,1773.9,1409,67.0,2023-05-09T22:27:59Z
330,Evening Walk,Walk,1843.2,1212,36.2,2023-05-09T19:38:45Z
333,Evening Walk,Walk,907.9,1,0.0,2023-05-08T18:07:29Z
334,Lunch Walk,Walk,1108.0,584,4.8,2023-05-08T12:20:11Z
335,Afternoon Walk,Walk,2035.0,1528,4.4,2023-05-07T17:26:30Z
336,Afternoon Walk,Walk,1420.1,1301,0.0,2023-05-07T15:30:12Z
343,Afternoon Walk,Walk,4245.3,2775,121.8,2023-05-05T16:25:25Z
345,Lunch Walk,Walk,2315.7,1840,0.0,2023-05-05T11:46:33Z
347,Morning Walk,Walk,1871.0,1275,0.0,2023-05-04T09:29:28Z
355,Evening Walk,Walk,1292.2,1002,71.0,2023-04-30T20:00:04Z
356,Afternoon Walk,Walk,1352.0,939,0.0,2023-04-30T17:46:15Z
359,Evening Walk,Walk,1904.8,1545,92.0,2023-04-27T18:53:51Z
360,Morning Walk,Walk,1790.3,1354,0.0,2023-04-27T09:24:28Z
365,Afternoon Walk,Walk,1817.6,1161,5.2,2023-04-23T15:40:56Z
366,Afternoon Walk,Walk,2919.5,2081,20.8,2023-04-22T16:06:39Z
367,Lunch Walk,Walk,1638.5,1287,18.8,2023-04-22T11:06:53Z
368,Lunch Walk,Walk,2076.5,1951,181.0,2023-04-21T11:36:08Z
369,Lunch Walk,Walk,7773.5,6823,133.8,2023-04-20T12:14:08Z
370,Evening Walk,Walk,1733.4,1207,0.0,2023-04-19T20:19:56Z
371,Lunch Walk,Walk,1439.1,1127,3.6,2023-04-19T11:13:46Z
372,Afternoon Walk,Walk,1507.9,1311,3.0,2023-04-18T16:03:07Z
373,Evening Walk,Walk,2140.3,1744,11.6,2023-04-15T19:41:38Z
374,Afternoon Walk,Walk,6377.1,6540,93.0,2023-04-15T14:24:48Z
375,Afternoon Walk,Walk,3271.5,2684,12.2,2023-04-14T17:24:24Z
376,Afternoon Walk,Walk,1586.7,581,4.4,2023-04-14T16:30:51Z
377,Afternoon Walk,Walk,2693.0,1995,30.2,2023-04-14T14:29:46Z
378,Afternoon Walk,Walk,1904.1,1594,21.8,2023-04-12T17:51:29Z
379,Afternoon Walk,Walk,6021.3,4853,61.6,2023-04-12T14:17:18Z
381,Afternoon Walk,Walk,3480.4,2412,113.2,2023-04-10T13:09:24Z
382,Evening Walk,Walk,1266.9,252,3.2,2023-04-09T19:47:00Z
383,Afternoon Walk,Walk,1774.5,1324,30.0,2023-04-09T17:18:24Z
386,Afternoon Walk,Walk,1816.4,835,0.0,2023-04-08T17:12:53Z
403,Morning Walk,Walk,2061.9,1540,13.2,2023-04-03T09:31:01Z
404,Afternoon Walk,Walk,2615.9,1869,43.6,2023-04-02T17:27:44Z
405,Lunch Walk,Walk,5461.5,3916,77.8,2023-04-02T12:12:46Z
406,Morning Walk,Walk,1252.8,151,0.0,2023-04-02T10:17:56Z
407,Morning Walk,Walk,1955.8,1393,6.2,2023-04-02T08:37:57Z
408,Night Walk,Walk,1394.5,1026,20.2,2023-04-01T23:41:16Z
409,Night Walk,Walk,1229.7,838,4.2,2023-04-01T21:08:57Z
410,Evening Walk,Walk,2050.9,1374,67.8,2023-04-01T19:07:50Z
411,Lunch Walk,Walk,1869.4,1344,4.8,2023-04-01T11:51:07Z
412,Night Walk,Walk,1627.5,1272,18.6,2023-03-31T21:36:00Z
413,Evening Walk,Walk,1816.6,1360,36.0,2023-03-31T18:49:44Z
414,Lunch Walk,Walk,5281.3,4144,69.4,2023-03-31T12:45:43Z
415,Lunch Walk,Walk,1477.3,1045,2.4,2023-03-31T11:50:18Z
416,Evening Walk,Walk,1611.2,1186,16.6,2023-03-30T20:43:15Z
417,Lunch Walk,Walk,1337.9,953,38.2,2023-03-30T11:26:48Z
418,Afternoon Walk,Walk,1402.9,1018,28.2,2023-03-28T17:47:41Z
419,Evening Walk,Walk,1724.9,1471,36.2,2023-03-27T19:34:39Z
420,Afternoon Walk,Walk,934.0,90,5.0,2023-03-26T13:28:29Z
421,Morning Walk,Walk,1164.4,38,0.0,2023-03-26T09:17:32Z
423,Afternoon Walk,Walk,1541.4,355,7.2,2023-03-24T16:47:43Z
425,Evening Walk,Walk,2467.0,1770,77.0,2023-03-22T20:07:12Z
426,Evening Walk,Walk,1860.8,1283,36.2,2023-03-22T18:19:27Z
430,Afternoon Walk,Walk,905.9,2,0.0,2023-03-20T13:40:21Z
433,Afternoon Walk,Walk,1243.1,1001,84.0,2023-03-19T13:20:02Z
434,Lunch Walk,Walk,1330.5,117,0.0,2023-03-19T11:01:27Z
435,Afternoon Walk,Walk,2825.0,1569,9.8,2023-03-18T14:24:29Z
443,Night Walk,Walk,1345.1,195,3.6,2023-03-16T21:17:08Z
444,Morning Walk,Walk,1831.4,1394,0.0,2023-03-16T09:41:08Z
452,Afternoon Walk,Walk,3143.7,2383,69.0,2023-03-12T16:42:04Z
455,Post-Margs brewery hop ,Walk,1822.3,1458,33.0,2023-03-10T19:16:21Z
456,Not raining so walk to Jana vc happy hour ,Walk,4188.2,3074,11.4,2023-03-10T16:38:44Z
459,Morning Walk,Walk,1871.9,1299,0.0,2023-03-09T09:28:16Z
464,Afternoon Walk,Walk,1345.4,710,0.0,2023-03-04T14:14:20Z
480,Evening Walk,Walk,2037.5,733,13.0,2023-02-26T18:03:54Z
481,Afternoon Walk,Walk,762.7,523,5.0,2023-02-26T17:06:25Z
482,Morning Walk,Walk,1022.3,5,0.0,2023-02-26T10:06:55Z
485,Afternoon Walk,Walk,1903.1,1483,7.0,2023-02-24T13:50:58Z
487,Afternoon Walk,Walk,1887.8,1372,90.2,2023-02-23T17:56:19Z
488,Morning Walk,Walk,1870.4,1335,0.0,2023-02-23T09:52:01Z
489,Post-trivia,Walk,2018.6,1502,61.8,2023-02-22T21:24:43Z
490,To trivia ,Walk,2042.6,1284,26.8,2023-02-22T18:21:21Z
492,Lunch Walk,Walk,1745.5,1166,3.0,2023-02-21T11:11:57Z
496,Afternoon Walk,Walk,5132.1,3391,62.8,2023-02-19T15:30:46Z
497,Afternoon Walk,Walk,2225.9,738,2.0,2023-02-18T17:26:19Z
498,Afternoon Walk,Walk,2058.4,67,0.0,2023-02-18T14:43:44Z
499,Lunch Walk,Walk,2136.5,1459,15.4,2023-02-18T11:04:15Z
501,Afternoon Walk,Walk,5971.0,4073,107.8,2023-02-17T13:37:20Z
502,Evening Walk,Walk,915.0,143,4.4,2023-02-16T19:00:43Z
503,Morning Walk,Walk,1944.6,1287,0.0,2023-02-16T10:38:20Z
504,Lunch Walk,Walk,1345.3,576,10.2,2023-02-15T12:18:31Z
505,Morning Walk,Walk,1523.1,887,0.0,2023-02-15T10:49:38Z
507,Morning Walk,Walk,1868.0,1351,0.0,2023-02-14T09:34:45Z
508,Lunch Walk,Walk,3309.9,2511,54.6,2023-02-13T11:37:51Z
513,Morning Walk,Walk,4413.9,3002,91.4,2023-02-11T10:20:03Z
520,Evening Walk,Walk,2317.2,1653,0.0,2023-02-09T18:37:13Z
523,Lunch Walk,Walk,2034.6,1593,4.8,2023-02-08T11:18:08Z
525,Morning Walk,Walk,340.7,232,0.0,2023-02-06T08:10:02Z
526,Evening Walk,Walk,737.5,547,7.2,2023-02-05T18:12:25Z
528,Afternoon Walk,Walk,2058.6,1562,31.8,2023-02-04T14:06:31Z
529,Morning Walk,Walk,1641.1,1181,12.4,2023-02-04T09:07:30Z
530,Flight to beach pipeline,Walk,5323.0,4680,60.8,2023-02-03T10:48:48Z
533,Evening Walk,Walk,1218.2,1025,104.0,2023-02-01T18:56:46Z
534,Morning Walk,Walk,1131.9,638,0.0,2023-02-01T10:09:51Z
536,Afternoon Walk,Walk,1980.1,1435,99.4,2023-01-31T17:06:08Z
537,Morning Walk,Walk,1870.1,1121,0.0,2023-01-31T08:37:50Z
538,Evening Walk,Walk,298.6,336,9.0,2023-01-30T19:34:57Z
539,Afternoon Walk,Walk,2545.3,1973,87.8,2023-01-30T14:47:18Z
540,Afternoon Walk,Walk,1303.4,970,20.2,2023-01-30T13:12:47Z
546,Night Walk,Walk,0.0,382,8.4,2023-01-27T21:15:33Z
547,Evening Walk,Walk,1373.1,1167,43.0,2023-01-27T18:05:10Z
